district,id,description,Longitude,Latitude
Ciudad Lineal,1723,JAZMIN - DALIA,-3.66625806577169,40.47940897466444
Ciudad Lineal,1675,GOLFO DE SALONICA - DALIA,-3.66492376374292,40.47839286082248
Hortaleza,1837,AV. SAN LUIS - JULIO DANVILA,-3.66267016883373,40.47257364427129
Ciudad Lineal,669,AV. SAN LUIS - CONDADO DE TREVIÑO,-3.67203042102848,40.47919090462997
Ciudad Lineal,1888,AV. SAN LUIS 95 - P.P.,-3.67097581659691,40.47764152124389
Ciudad Lineal,2160,CUESTA SAGRADO CORAZON - ACCESO M-30,-3.66744304155775,40.46714678755468
Ciudad Lineal,10027,CONDADO DE TREVIÑO - CALERUEGA,-3.67097363927804,40.47951089329703
Moratalaz,1132,CNO. VINATEROS - MANUEL MACHADO,-3.65963527661358,40.41079884491717
Moratalaz,635,CNO. VINATEROS - CDOR. DIEGO VALDERRABANO,-3.65825547492326,40.41064115373551
Moratalaz,599,CNO. VINATEROS - ARROYO MEDIA LEGUA,-3.65549856016073,40.41069184976268
Moratalaz,4552,CNO. VINATEROS - JOSE PRADO Y PALACIO - P.P.,-3.653689757857,40.41059455987088
Moratalaz,642,CNO. VINATEROS - ARROYO BELINCOSO,-3.65247485041419,40.41036248655386
Moratalaz,4551,CNO. VINATEROS 69 - P.P.,-3.6510922865001,40.40999323198731
Moratalaz,570,CNO. VINATEROS - C. JOSE PASAMONTE,-3.64982145870462,40.40962152400292
Moratalaz,675,CNO. VINATEROS - MARROQUINA,-3.64768667753094,40.40889460255323
Moratalaz,882,CAMINO VINATEROS - CAÑADA,-3.6436091222603,40.4064299813797
Moratalaz,763,CAMINO VINATEROS - PICO ARTILLEROS,-3.6416983564824,40.40523567218501
Moratalaz,676,CNO. VINATEROS - AV. MORATALAZ,-3.64578541354708,40.40805138035596
Moratalaz,1193,CDOR. DIEGO VALDERRABANO - LITUANIA,-3.66060855747994,40.40916365182198
Moratalaz,444,CDOR. DIEGO VALDERRABANO - AV. MORATALAZ,-3.66173597436102,40.40789786237523
Moratalaz,977,ARROYO MEDIA LEGUA - ENTRE ARROYOS,-3.65704355918306,40.40886139143187
Puente de Vallecas,1248,SIERRA TOLEDANA - EL BOSCO,-3.65888030848859,40.40537708980619
Puente de Vallecas,920,DR. LOZANO - SIERRA TOLEDANA,-3.66009319215085,40.40295357094244
Puente de Vallecas,1297,SIERRA TOLEDANA - PUERTO CANENCIA,-3.66042724894818,40.40094242167654
Moratalaz,1354,ARROYO BELINCOSO - P.P.,-3.65273109783166,40.40814995817677
Moratalaz,921,ARROYO PILILLAS 11 - P.P.,-3.65202818978092,40.40712645442115
Moratalaz,478,PL. ENCUENTRO,-3.65142836365771,40.40558707756441
Moratalaz,2166,AV. MORATALAZ 137- P.P.,-3.64856992190944,40.40676510824422
Moratalaz,1033,HACIENDA PAVONES - CORREGIDOR ALONSO TOBAR - P.P.,-3.6481349326303,40.40412662166273
Moratalaz,626,HACIENDA PAVONES - CAÑADA,-3.64441596514201,40.40351039432667
Moratalaz,1078,PL. C. CONDE MACEDA TABOADA,-3.6431883027112,40.40306864892104
Moratalaz,1501,ENCOMIENDA PALACIOS - PICO ARTILLEROS,-3.6431505803711,40.40089439111748
Moratalaz,1545,ENCOMIENDA PALACIOS 158 - P.P.,-3.64182257854533,40.39991715933471
Moratalaz,1706,ARROYO FONTARRON - C. JUAN FRANCISCO LUJAN,-3.65118364655508,40.40363479857283
Puente de Vallecas,1477,EL BOSCO - MARUJA GARCIA ROMERO,-3.65441417034356,40.40426246127744
Puente de Vallecas,1498,SIERRA TOLEDANA - Cº VALDERRIBAS,-3.66078263934939,40.39906875494295
Moratalaz,2269,HACIENDA PAVONES 3-8 - P.P.,-3.64925468648575,40.40461730282689
Moratalaz,1139,DR. GARCIA TAPIA - ARROYO MEDIA LEGUA,-3.65398864984031,40.41233277101659
Moratalaz,1578,ARROYO MEDIA LEGUA - ALC. GARRIDO JUARISTI,-3.65274619620914,40.4135081355807
Moratalaz,1579,ARROYO MEDIA LEGUA - ACCESO O'DONNELL,-3.65192817539515,40.41424574800518
Moratalaz,1143,CDOR. DIEGO VALDERRABANO - ALC. LUIS MARICHALAR,-3.65808075098689,40.41137952150929
Moratalaz,2117,CDOR. DIEGO VALDERRABANO 70 - INSTITUTO  - P.P.,-3.65803293330155,40.41247710461754
Moratalaz,634,CDOR. DIEGO VALDERRABANO - DR. GARCIA TAPIA,-3.65795708257641,40.41356438301798
Moratalaz,1293,AV. MORATALAZ 59-93-101 - P.P.,-3.65512753858016,40.40619853627725
Moratalaz,1350,FELIX RODRIGUEZ FUENTE 25 - P.P.,-3.65763340628624,40.41530077712474
Moratalaz,4567,HACIENDA PAVONES 74 - 93 P.P.,-3.64599843957215,40.40361342400849
Moratalaz,4632,DR. GARCIA TAPIA - ARROYO BELINCOSO,-3.65168925148733,40.41226319639024
Moratalaz,2197,ARROYO FONTARRON  53 - P.P.,-3.65044008773927,40.40276518524708
Moratalaz,4645,HACIENDA PAVONES 174-204 - P.P.,-3.64024666857474,40.40254575667585
Puente de Vallecas,4728,SIERRA TOLEDANA - SAN FLORENCIO,-3.65952164889133,40.40405605921597
Ciudad Lineal,722,AV. MARQUES CORBERA - RICARDO ORTIZ,-3.6563507995751,40.42248626345526
Ciudad Lineal,1445,AV. MARQUES CORBERA 20 - P.P.,-3.65505071672893,40.42343909757968
Ciudad Lineal,1028,AV. MARQUES CORBERA - MONTEJURRA,-3.65397855473983,40.42421950107668
Ciudad Lineal,1446,AV. MARQUES CORBERA 40 - P.P.,-3.65253375377739,40.42528696167424
Ciudad Lineal,629,AV. MARQUES CORBERA - GERARDO CORDON,-3.65153451977595,40.4260420169751
Ciudad Lineal,665,AV. MARQUES CORBERA - SANTA PRISCA,-3.65012735204368,40.42693371529371
Ciudad Lineal,1387,FRANCISCO VILLAESPESA - HNOS. MACHADO,-3.64884301391504,40.42853108717476
Ciudad Lineal,1392,FRANCISCO VILLAESPESA - JOSE MARIA PEREDA,-3.64763094721086,40.42893215457159
Ciudad Lineal,1514,FRANCISCO VILLAESPESA - LEDESMA,-3.64677529920595,40.42902323775078
Ciudad Lineal,1388,FRANCISCO VILLAESPESA - LAGO CONSTANZA,-3.64589764746619,40.42914351229123
Ciudad Lineal,1393,FRANCISCO VILLAESPESA - SALAS BARBADILLO,-3.64503321256042,40.42930522695865
Ciudad Lineal,1389,FRANCISCO VILLAESPESA - EZEQUIEL SOLANA,-3.64400083241133,40.42938865474316
Ciudad Lineal,1395,FRANCISCO VILLAESPESA - BERASTEGUI,-3.6424992072487,40.42957400793448
Ciudad Lineal,1390,ASCAO - GUTIERRE CETINA,-3.64127550553324,40.42996850667795
Ciudad Lineal,429,ASCAO - EMILIO FERRARI,-3.64045882622037,40.43032250686487
Ciudad Lineal,643,ASCAO - LUIS RUIZ,-3.63862606757164,40.43119681243656
Ciudad Lineal,511,ASCAO - JOSE ARCONES GIL,-3.63675352450831,40.43198238281453
