"tipo_elem";distrito;id;id_cruce;"fecha_inst";utm_x;utm_y;longitud;latitud
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4442;42;"2020-05-26 00:00:00";441382.785021426;4475135.13195092;-3.69100647548894;40.4247848566453
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4440;42;"2020-05-26 00:00:00";441366.639773813;4475182.496820388;-3.69120115771502;40.42521040457493
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4439;42;"2020-05-26 00:00:00";441373.771193675;4475196.045769081;-3.69111834385523;40.42533296259187
"other";1;7131;827;"2024-11-18 00:00:00";440548.18007126;4475168.598296692;-3.70084761540983;40.42502711686637
"other";1;7130;827;"2024-11-18 00:00:00";440556.609240547;4475170.962747353;-3.700748476274;40.42504901922506
"other";1;7129;827;"2024-11-18 00:00:00";440564.312346997;4475164.244390266;-3.70065704661568;40.42498904748204
"other";1;5769;442;"2024-11-18 00:00:00";440999.167085127;4475126.061318509;-3.695527582049;40.42467602807569
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;6531;2206;"2020-02-18 00:00:00";441292.594769326;4474670.747710164;-3.69202673289379;40.42059509929123
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;6532;2206;"2020-02-18 00:00:00";441283.854507429;4474673.697977578;-3.69213002595309;40.42062106004538
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;26;176;"2018-08-31 00:00:00";439844.008159658;4475087.456884785;-3.70914046778462;40.42424554189751
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;8942;176;"2019-12-05 00:00:00";439856.396743381;4475098.825239183;-3.70899551262175;40.42434884877342
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;8944;176;"2019-12-05 00:00:00";439838.045272256;4475114.762913206;-3.70921333896219;40.42449109569924
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;8943;176;"2019-12-05 00:00:00";439842.608340752;4475115.490358908;-3.7091596204064;40.42449797880062
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;25;176;"2018-08-31 00:00:00";439834.829485056;4475088.959188674;-3.70924880359042;40.42425841163356
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE)";1;7089;347;"1999-01-01 00:00:00";439995.536332893;4475099.270919428;-3.70735544334112;40.42436291013274
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE)";1;7090;347;"1999-01-01 00:00:00";439987.344641476;4475085.378455775;-3.70745069193256;40.42423716970774
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4405;826;"2018-09-02 00:00:00";441112.32286062;4475024.811624732;-3.69418436830066;40.42377193922557
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4406;826;"2018-09-02 00:00:00";441117.202130958;4475017.916050719;-3.69412621555478;40.42371016591943
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4407;826;"2018-09-02 00:00:00";441120.240815115;4475016.881920907;-3.69409030146572;40.42370106502793
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4404;826;"2018-09-02 00:00:00";441112.360306225;4475036.229751609;-3.69418498435392;40.42387480182629
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;42;39;"2018-11-10 00:00:00";439669.427750971;4475005.521583362;-3.71119056024051;40.42349479128672
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;44;39;"2018-11-10 00:00:00";439716.006979172;4475006.764255264;-3.71064163154942;40.42350936200521
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;8674;39;"2018-11-10 00:00:00";439709.010195863;4474971.749810381;-3.71072078531905;40.42319342924694
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;47;39;"2018-11-10 00:00:00";439677.242474424;4474969.065074016;-3.71109498676887;40.42316694138167
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;48;39;"2018-11-10 00:00:00";439665.947808187;4474987.217506479;-3.71122984284929;40.42332964765574
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;8675;39;"2018-11-10 00:00:00";439721.025953619;4474986.041928238;-3.7105805066243;40.42332304964291
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;43;39;"2018-11-10 00:00:00";439712.955630249;4475010.86780865;-3.71067798798893;40.4235461075594
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;39;39;"2018-11-10 00:00:00";439680.128410085;4475024.51071302;-3.71106622898778;40.42366662968074
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4461;40;"2020-03-24 00:00:00";441340.251733203;4474950.42918525;-3.69149080328867;40.42311796709809
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4460;40;"2020-03-24 00:00:00";441345.814420329;4474934.661956583;-3.69142377957235;40.42297632041445
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4450;40;"2020-03-24 00:00:00";441332.797253449;4475001.417184087;-3.69158337610778;40.42357676609524
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4457;40;"2020-03-24 00:00:00";441385.137067286;4474928.481547502;-3.69095970097027;40.42292341538288
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4453;40;"2020-03-24 00:00:00";441393.900231678;4474986.244979891;-3.69086173053303;40.42344439373755
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4456;40;"2020-03-24 00:00:00";441405.265121822;4474942.486534595;-3.69072373568448;40.4230509968363
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4451;40;"2020-03-24 00:00:00";441364.797240734;4474990.518622736;-3.69120517346822;40.42348084232547
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4449;40;"2020-03-24 00:00:00";441327.551625069;4475003.662330403;-3.69164541575118;40.42359662156547
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4464;40;"2020-03-24 00:00:00";441306.776156409;4474964.135931025;-3.69188665679746;40.42323908334726
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4452;40;"2020-03-24 00:00:00";441387.023551041;4474989.403831218;-3.6909430799565;40.42347236579672
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4465;40;"2020-03-24 00:00:00";441307.499518161;4474948.492444591;-3.69187668635631;40.42309821027833
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4458;40;"2020-03-24 00:00:00";441376.101272877;4474932.431071459;-3.69106657286762;40.42295835801973
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4463;40;"2020-03-24 00:00:00";441304.369939827;4474975.565779173;-3.69191607481296;40.42334187920475
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4466;40;"2020-03-24 00:00:00";441313.047324685;4474946.406955277;-3.6918110999642;40.42307981450877
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4455;40;"2020-03-24 00:00:00";441406.965166836;4474947.881555775;-3.69070419379297;40.42309971753141
"AVISADOR ACUSTICO (MODERNO - DIGITAL PROGRAMABLE - BLUETOOTH)";1;4454;40;"2020-03-24 00:00:00";441399.75100164;4474984.137621414;-3.69079257090312;40.42342582172372
